,Unnamed: 0,Word,Word Frequency,Rpt,Letter Freq,Scores,Unnamed: 6,Unnamed: 7
527,527,chant,-0.25,0,3696.9971079349,16.27305103,,
528,528,chaos,-0.18,0,4457.128015470901,16.7867878,,
529,529,chaps,-0.42,0,2163.7206445701,15.11270598,,
530,530,chard,-0.07,0,3118.328592764,19.43742431,,
531,531,charm,-0.68,0,2503.834428895801,10.85439804,,
532,532,chart,-0.65,0,5787.251005982601,8.939227967,,
533,533,chase,-0.54,0,7282.933526045102,9.837265285,,
534,534,chasm,0.04,0,1863.3934888569,22.36458895,,
535,535,cheap,-0.61,0,3987.374659337301,10.65957323,,
536,536,cheat,-0.74,0,7937.013911803901,6.543257413,,
537,537,check,-0.63,1,1116.2611542082,18.41532118,,
538,538,cheek,-0.54,1,2883.8998826638,17.5933271,,
539,539,cheep,-0.35,1,5023.056389035301,18.87896097,,
540,540,cheer,-0.69,1,12327.8797182002,10.67188051,,
541,541,chess,-0.49,1,4978.534252160701,16.80602719,,
542,542,chest,-0.67,0,5425.6564993323,8.841724493,,
543,543,chevy,-0.56,0,721.3833625152001,15.28626261,,
544,544,chick,-0.74,1,606.7773846680001,17.88482554,,
545,545,chide,-0.12,0,2928.54082444,18.85321271,,
546,546,chief,-0.77,0,1714.057717834,10.40498008,,
547,547,child,-0.74,0,1707.17187704,10.86404253,,
548,548,chile,-0.35,0,5357.507037652,13.68096986,,
549,549,chili,-0.2,1,2912.23437848,22.66781433,,
550,550,chill,-0.53,1,3123.120316232,17.53333372,,
551,551,chime,-0.32,0,2351.446014918,16.41030504,,
552,552,chimp,-0.48,0,698.602049418,16.54273772,,
553,553,china,-0.65,0,3398.190685582,10.50572867,,
554,554,chins,-0.38,0,2322.966241974,15.54024395,,
555,555,chips,-0.67,0,1481.650500414,12.22659487,,
556,556,chirp,-0.05,0,1990.887891748,20.86055743,,
557,557,chive,-0.25,0,1136.962908312,19.07851717,,
558,558,chock,-0.02,1,683.1476417038001,28.48180867,,
559,559,choir,-0.59,0,4101.103448932,10.87901245,,
560,560,choke,-0.63,0,1764.9359169442,12.4388188,,
561,561,chomp,0.08,0,786.5295487413001,24.7315502,,
562,562,chops,-0.61,0,1668.1340978799,12.86592388,,
563,563,chord,-0.31,0,2404.095125236001,16.50563899,,
564,564,chore,-0.57,0,7544.616172431802,9.267444402,,
565,565,chose,-0.57,0,5614.823603904901,10.23461691,,
566,566,chuck,-0.38,1,422.6518334584,23.86405352,,
567,567,chump,-0.36,0,486.6124620084,18.94527742,,
568,568,chunk,-0.53,0,508.6149182296001,16.32482262,,
569,569,churn,-0.24,0,2174.1890460584,17.80109314,,
570,570,chute,0.13,0,3785.7775919348,21.90653832,,
571,571,cider,-0.42,0,6760.844989359999,11.88591003,,
572,572,cigar,-0.46,0,4261.915322280001,12.71780101,,
573,573,cilia,0.13,1,7319.473348879998,24.87034993,,
574,574,cinch,-0.02,1,1656.969011978,26.73092291,,
575,575,circa,0.0,1,6519.151955931999,23.30571943,,
576,576,cited,-0.6,0,5483.41026772,9.858742614,,
577,577,cites,-0.33,0,9337.925132381999,12.11786861,,
578,578,civic,-0.31,1,757.40823312,23.94952205,,
579,579,civil,-0.56,1,1140.69714528,19.42192983,,
580,580,clack,0.45,1,1635.4801835372,33.80999675,,
581,581,claim,-0.73,0,3445.200386627999,9.268171226,,
582,582,clair,-0.16,0,9818.190112807999,14.48498467,,
583,583,clamp,-0.46,0,1882.9802113122,14.84044192,,
584,584,clams,-0.51,0,3439.2603859614,12.57289642,,
585,585,clang,-0.22,0,2919.738789198,17.36108721,,
586,586,clank,0.03,0,1968.1202208668,22.08753228,,
587,587,claps,-0.41,0,3993.573415200599,13.65513995,,
588,588,clara,-0.26,1,14337.9431474972,16.51802601,,
589,589,clare,0.05,0,18062.0842247692,15.19410505,,
